Cycle;active_ego;width_ego;length_ego;x_ego;y_ego;vx_ego;vy_ego;ax_ego;ay_ego;w_ego;active_1;width_1;length_1;x_1;y_1;vx_1;vy_1;ax_1;ay_1;w_1;active_2;width_2;length_2;x_2;y_2;vx_2;vy_2;ax_2;ay_2;w_2
18;1;1.899;5.289;10000.24398;-10.58079733;0.096634984;0.001932957;2.036557049;-0.040736572;0.02;1;1.885342708;5;9741.174506;-8.743972627;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.57714;-9.70049079;0.169939527;0.003991726;0.999644274;0.023480742;0.02348478
19;1;1.899;5.289;10000.24502;-10.58077653;0.117880714;0.002357929;2.21288515;-0.044263604;0.02;1;1.885342708;5;9741.431173;-8.743864798;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.57894;-9.700448525;0.179935969;0.004226534;0.999644274;0.023480742;0.02348478
20;1;1.899;5.289;10000.24628;-10.58075137;0.140869648;0.002817769;2.342288221;-0.046852011;0.02;1;1.885342708;5;9741.687839;-8.74375697;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.58084;-9.700403912;0.189932412;0.004461341;0.999644274;0.023480742;0.02348478
21;1;1.899;5.289;10000.24777;-10.58072163;0.164111538;0.003282668;2.497634368;-0.049959348;0.02;1;1.885342708;5;9741.944506;-8.743649141;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.58284;-9.70035695;0.199928855;0.004696148;0.999644274;0.023480742;0.02348478
22;1;1.899;5.289;10000.24951;-10.58068683;0.19286611;0.003857837;3.270533969;-0.065419401;0.02;1;1.885342708;5;9742.201172;-8.743541313;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.58494;-9.70030764;0.209925298;0.004930956;0.999644274;0.023480742;0.02348478
23;1;1.899;5.289;10000.25157;-10.58064568;0.226767162;0.004535948;3.233650149;-0.064681626;0.02;1;1.885342708;5;9742.457839;-8.743433484;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.58714;-9.700255983;0.21992174;0.005165763;0.999644274;0.023480742;0.02348478
24;1;1.899;5.289;10000.25395;-10.58059791;0.261520998;0.005231117;3.895870792;-0.077927805;0.02;1;1.885342708;5;9742.714506;-8.743325656;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.58943;-9.700201977;0.229918183;0.005400571;0.999644274;0.023480742;0.02348478
25;1;1.899;5.289;10000.25671;-10.58054268;0.301173141;0.006024266;4.230836795;-0.084627861;0.02;1;1.885342708;5;9742.971172;-8.743217827;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.59183;-9.700145623;0.239914626;0.005635378;0.999644274;0.023480742;0.02348478
26;1;1.899;5.289;10000.25988;-10.58047931;0.343170215;0.006864319;4.232676751;-0.084645546;0.02;1;1.885342708;5;9743.227839;-8.743109999;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.59433;-9.700086921;0.249911068;0.005870185;0.999644274;0.023480742;0.02348478
27;1;1.899;5.289;10000.26344;-10.58040821;0.378032013;0.007561649;3.694981927;-0.073771764;0.020000001;1;1.885342708;5;9743.484506;-8.743002171;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.59693;-9.700025872;0.259907511;0.006104993;0.999644274;0.023480742;0.02348478
28;1;1.899;5.289;10000.26735;-10.58032984;0.415951196;0.008320139;4.045338373;-0.080501663;0.020000015;1;1.885342708;5;9743.741172;-8.742894342;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.59963;-9.699962474;0.269903954;0.0063398;0.999644274;0.023480742;0.02348478
29;1;1.899;5.289;10000.27167;-10.58024343;0.457304452;0.009147337;4.290212916;-0.08498544;0.020000061;1;1.885342708;5;9743.997839;-8.742786514;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.60243;-9.699896727;0.279900397;0.006574608;0.999644274;0.023480742;0.02348478
30;1;1.899;5.289;10000.27642;-10.5801483;0.501933131;0.010040089;4.4920856;-0.088541975;0.020000175;1;1.885342708;5;9744.254506;-8.742678685;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.60533;-9.699828633;0.289896839;0.006809415;0.999644274;0.023480742;0.02348478
31;1;1.899;5.289;10000.2816;-10.58004427;0.54374118;0.010876485;4.208206699;-0.082361739;0.020000389;1;1.885342708;5;9744.511172;-8.742570857;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.60833;-9.699758191;0.299893282;0.007044223;0.999644274;0.023480742;0.02348478
32;1;1.899;5.289;10000.28721;-10.57993149;0.587519797;0.011752405;4.597226814;-0.089726558;0.020000752;1;1.885342708;5;9744.767839;-8.742463028;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.61143;-9.699685401;0.309889725;0.00727903;0.999644274;0.023480742;0.02348478
33;1;1.899;5.289;10000.29327;-10.57980934;0.633035638;0.012663224;4.343239713;-0.084430301;0.0200013;1;1.885342708;5;9745.024506;-8.7423552;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.61463;-9.699610262;0.319886168;0.007513837;0.999644274;0.023480742;0.02348478
34;1;1.899;5.289;10000.29979;-10.5796779;0.677510474;0.013553407;4.529836698;-0.088119519;0.020002052;1;1.885342708;5;9745.281172;-8.742247372;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.61792;-9.699532776;0.32988261;0.007748645;0.999644274;0.023480742;0.02348478
35;1;1.899;5.289;10000.30675;-10.57953699;0.723873083;0.014481584;4.682474603;-0.09127477;0.020003026;1;1.885342708;5;9745.537839;-8.742139543;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.62132;-9.699452941;0.339879053;0.007983452;0.999644274;0.023480742;0.02348478
36;1;1.899;5.289;10000.31419;-10.57938646;0.76935881;0.015392471;4.555323143;-0.089018924;0.020004213;1;1.885342708;5;9745.794506;-8.742031715;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.62482;-9.699370759;0.349875496;0.00821826;0.999644274;0.023480742;0.02348478
37;1;1.899;5.289;10000.32208;-10.57922642;0.815862278;0.01632399;4.688915093;-0.092064966;0.020005597;1;1.885342708;5;9746.051172;-8.741870856;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.62842;-9.699286228;0.359871939;0.008453067;0.999644274;0.023480742;0.02348478
38;1;1.899;5.289;10000.33044;-10.57905673;0.862242392;0.017253309;4.608237296;-0.090840406;0.020007143;1;1.885342708;5;9746.307839;-8.741709997;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.63212;-9.699199349;0.369868381;0.008687874;0.999644274;0.023480742;0.02348478
39;1;1.899;5.289;10000.33926;-10.57887753;0.90846942;0.018179818;4.639186752;-0.091866908;0.02000881;1;1.885342708;5;9746.564505;-8.741549138;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.63592;-9.699110123;0.379864824;0.008922682;0.999644274;0.023480742;0.02348478
40;1;1.899;5.289;10000.34855;-10.57868884;0.954986895;0.019112373;4.624675439;-0.091875508;0.020010559;1;1.885342708;5;9746.821172;-8.74138828;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.63982;-9.699018548;0.389861267;0.009157489;0.999644274;0.023480742;0.02348478
41;1;1.899;5.289;10000.35831;-10.57849073;1.000900031;0.02003302;4.592307392;-0.091455656;0.020012334;1;1.885342708;5;9747.077839;-8.741227421;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.64382;-9.698924625;0.39985771;0.009392297;0.999644274;0.023480742;0.02348478
42;1;1.899;5.289;10000.36852;-10.57828329;1.047022415;0.020958019;4.601153428;-0.09175381;0.020014109;1;1.885342708;5;9747.334505;-8.741066562;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.64791;-9.698828354;0.409854152;0.009627104;0.999644274;0.023480742;0.02348478
43;1;1.899;5.289;10000.37919;-10.57806658;1.092603651;0.0218723;4.542459817;-0.090585372;0.02001584;1;1.885342708;5;9747.591172;-8.740905703;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.65211;-9.698729735;0.419850595;0.009861912;0.999644274;0.023480742;0.02348478
44;1;1.899;5.289;10000.39032;-10.57784068;1.138060624;0.022784177;4.530420634;-0.090260298;0.020017505;1;1.885342708;5;9747.847838;-8.740744844;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.65641;-9.698628767;0.429847038;0.010096719;0.999644274;0.023480742;0.02348478
45;1;1.899;5.289;10000.4019;-10.57760567;1.18302711;0.023686288;4.476490913;-0.089014823;0.020019088;1;1.885342708;5;9748.104505;-8.740583986;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.66081;-9.698525452;0.43984348;0.010331526;0.999644274;0.023480742;0.02348478
46;1;1.899;5.289;10000.41394;-10.57736161;1.227677175;0.024582105;4.445034338;-0.088184108;0.020020589;1;1.885342708;5;9748.361172;-8.740423127;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.66531;-9.698419789;0.449839923;0.010566334;0.999644274;0.023480742;0.02348478
47;1;1.899;5.289;10000.42641;-10.57710858;1.271846298;0.025468326;4.395183505;-0.086970153;0.020022012;1;1.885342708;5;9748.617838;-8.740262268;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.66991;-9.698311777;0.459836366;0.010801141;0.999644274;0.023480742;0.02348478
48;1;1.899;5.289;10000.43933;-10.57684665;1.315625064;0.026346769;4.359904425;-0.086081346;0.02002337;1;1.885342708;5;9748.874505;-8.740101409;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.6746;-9.698201418;0.469832809;0.011035949;0.999644274;0.023480742;0.02348478
49;1;1.899;5.289;10000.45268;-10.57657586;1.35901482;0.027217485;4.318742611;-0.085126709;0.020024687;1;1.885342708;5;9749.131172;-8.739940551;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.6794;-9.69808871;0.479829251;0.011270756;0.999644274;0.023480742;0.02348478
50;1;1.899;5.289;10000.46646;-10.57629629;1.401983492;0.028079855;4.275016386;-0.0841854;0.020025985;1;1.885342708;5;9749.387838;-8.739779692;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.6843;-9.697973655;0.489825694;0.011505563;0.999644274;0.023480742;0.02348478
51;1;1.899;5.289;10000.48068;-10.576008;1.444522823;0.02893375;4.23346585;-0.083325131;0.020027293;1;1.885342708;5;9749.644505;-8.739618833;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.6893;-9.697856251;0.499822137;0.011740371;0.999644274;0.023480742;0.02348478
